Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
251430 São José de Caiana,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
251440 São José de Espinharas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251450 São José de Piranhas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251455 São José de Princesa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251460 São José do Bonfim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251465 São José do Brejo do Cruz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251470 São José do Sabugi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251480 São José dos Cordeiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251445 São José dos Ramos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251490 São Mamede,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251500 São Miguel de Taipu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251510 São Sebastião de Lagoa de Roça,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251520 São Sebastião do Umbuzeiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251540 São Vicente do Seridó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251530 Sapé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251550 Serra Branca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251560 Serra da Raiz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251570 Serra Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251580 Serra Redonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251590 Serraria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251593 Sertãozinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251597 Sobrado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251600 Solânea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251610 Soledade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251615 Sossêgo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251620 Sousa,-,-,-,6,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
251630 Sumé,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
251640 Tacima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251650 Taperoá,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
251660 Tavares,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251670 Teixeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251675 Tenório,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251680 Triunfo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251690 Uiraúna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251700 Umbuzeiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251710 Várzea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251720 Vieirópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250550 Vista Serrana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251740 Zabelê,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250000 Município ignorado - PB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260005 Abreu e Lima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260010 Afogados da Ingazeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260020 Afrânio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260030 Agrestina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260040 Água Preta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260050 Águas Belas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22
260060 Alagoinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260070 Aliança,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260080 Altinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260090 Amaraji,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260100 Angelim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260105 Araçoiaba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260110 Araripina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260120 Arcoverde,8,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
260130 Barra de Guabiraba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260140 Barreiros,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
260150 Belém de Maria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260160 Belém do São Francisco,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
260170 Belo Jardim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260180 Betânia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260190 Bezerros,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
260200 Bodocó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260210 Bom Conselho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260220 Bom Jardim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260230 Bonito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260240 Brejão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260250 Brejinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260260 Brejo da Madre de Deus,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
260270 Buenos Aires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260280 Buíque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260290 Cabo de Santo Agostinho,40,-,-,4,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74
260300 Cabrobó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260310 Cachoeirinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260320 Caetés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260330 Calçado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260340 Calumbi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260345 Camaragibe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260350 Camocim de São Félix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260360 Camutanga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260370 Canhotinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260380 Capoeiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260390 Carnaíba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260392 Carnaubeira da Penha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260400 Carpina,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
260410 Caruaru,30,-,-,19,-,68,-,-,10,-,-,-,-,-,-,-,16,8,-,-,151
260415 Casinhas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260420 Catende,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260430 Cedro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260440 Chã de Alegria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260450 Chã Grande,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
260460 Condado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260470 Correntes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260480 Cortês,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260490 Cumaru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260500 Cupira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260510 Custódia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260515 Dormentes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260520 Escada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260530 Exu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260540 Feira Nova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260545 Fernando de Noronha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260550 Ferreiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260560 Flores,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260570 Floresta,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
260580 Frei Miguelinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260590 Gameleira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260600 Garanhuns,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,8,29
260610 Glória do Goitá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260620 Goiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260630 Granito,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
260640 Gravatá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260650 Iati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260660 Ibimirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260670 Ibirajuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260680 Igarassu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260690 Iguaracy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260760 Ilha de Itamaracá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260700 Inajá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260710 Ingazeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260720 Ipojuca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260730 Ipubi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260740 Itacuruba,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
260750 Itaíba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260765 Itambé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260770 Itapetim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260775 Itapissuma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260780 Itaquitinga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260790 Jaboatão dos Guararapes,10,-,-,-,-,40,-,-,-,-,-,30,-,-,-,-,-,-,-,-,80
260795 Jaqueira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260800 Jataúba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260805 Jatobá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260810 João Alfredo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260820 Joaquim Nabuco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260825 Jucati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260830 Jupi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260840 Jurema,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260850 Lagoa de Itaenga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260845 Lagoa do Carro,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
260860 Lagoa do Ouro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260870 Lagoa dos Gatos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260875 Lagoa Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260880 Lajedo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260890 Limoeiro,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
260900 Macaparana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260910 Machados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260915 Manari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260920 Maraial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260930 Mirandiba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8
261430 Moreilândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260940 Moreno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260950 Nazaré da Mata,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
260960 Olinda,22,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47
260970 Orobó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260980 Orocó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260990 Ouricuri,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
261000 Palmares,-,-,-,7,-,30,-,-,5,-,-,5,-,-,-,-,-,-,-,-,47
261010 Palmeirina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261020 Panelas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261030 Paranatama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261040 Parnamirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261050 Passira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261060 Paudalho,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
261070 Paulista,18,-,-,3,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81
261080 Pedra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261090 Pesqueira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261100 Petrolândia,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
261110 Petrolina,5,-,-,-,-,41,-,-,4,-,-,6,-,-,-,-,27,8,-,-,91
261120 Poção,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261130 Pombos,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
261140 Primavera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261150 Quipapá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261153 Quixaba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261160 Recife,255,15,56,32,1,320,87,-,76,23,-,65,18,2,18,-,66,37,4,4,1079
261170 Riacho das Almas,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
261180 Ribeirão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261190 Rio Formoso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261200 Sairé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261210 Salgadinho,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
261220 Salgueiro,-,-,-,1,-,10,-,-,-,-,-,-,-,-,-,-,5,-,-,-,16
261230 Saloá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261240 Sanharó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261245 Santa Cruz,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
261247 Santa Cruz da Baixa Verde,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
261250 Santa Cruz do Capibaribe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261255 Santa Filomena,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
261260 Santa Maria da Boa Vista,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
261270 Santa Maria do Cambucá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261280 Santa Terezinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261290 São Benedito do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261300 São Bento do Una,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261310 São Caitano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261320 São João,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261330 São Joaquim do Monte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261340 São José da Coroa Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261350 São José do Belmonte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261360 São José do Egito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261370 São Lourenço da Mata,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
261380 São Vicente Ferrer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261390 Serra Talhada,5,-,-,2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
261400 Serrita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261410 Sertânia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261420 Sirinhaém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261440 Solidão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261450 Surubim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261460 Tabira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261470 Tacaimbó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261480 Tacaratu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261485 Tamandaré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261500 Taquaritinga do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261510 Terezinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261520 Terra Nova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261530 Timbaúba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261540 Toritama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261550 Tracunhaém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261560 Trindade,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
261570 Triunfo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261580 Tupanatinga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261590 Tuparetama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261600 Venturosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261610 Verdejante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261618 Vertente do Lério,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261620 Vertentes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261630 Vicência,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261640 Vitória de Santo Antão,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,10,-,-,-,20
261650 Xexéu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260000 Município ignorado - PE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270010 Água Branca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270020 Anadia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270030 Arapiraca,17,-,-,1,-,33,20,-,10,-,-,10,-,-,-,10,14,10,-,-,125
270040 Atalaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270050 Barra de Santo Antônio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270060 Barra de São Miguel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270070 Batalha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270080 Belém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270090 Belo Monte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270100 Boca da Mata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270110 Branquinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270120 Cacimbinhas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270130 Cajueiro,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
270135 Campestre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270140 Campo Alegre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270150 Campo Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270160 Canapi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270170 Capela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270180 Carneiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270190 Chã Preta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270200 Coité do Nóia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270210 Colônia Leopoldina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270220 Coqueiro Seco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270230 Coruripe,15,-,-,1,-,-,10,-,-,9,-,-,9,-,-,-,-,-,-,-,44
270235 Craíbas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270240 Delmiro Gouveia,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
270250 Dois Riachos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270255 Estrela de Alagoas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270260 Feira Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270270 Feliz Deserto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270280 Flexeiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270290 Girau do Ponciano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270300 Ibateguara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270310 Igaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270320 Igreja Nova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270330 Inhapi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270340 Jacaré dos Homens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
